cidade_match,BAIRRO DO FATO,ano,mes,count
Arapiraca,Cacimbas,2017,3,3
Arapiraca,Cacimbas,2017,11,1
Arapiraca,Cacimbas,2018,4,1
Arapiraca,Cacimbas,2019,5,1
Arapiraca,Cacimbas,2020,4,1
Arapiraca,Cacimbas,2020,5,1
Arapiraca,Cacimbas,2020,10,1
Arapiraca,Cacimbas,2021,2,1
Arapiraca,Cacimbas,2021,5,1
Arapiraca,Cacimbas,2021,6,1
Arapiraca,Cacimbas,2021,9,1
Arapiraca,Cacimbas,2023,2,2
Arapiraca,Cacimbas,2023,3,2
Arapiraca,Cacimbas,2023,9,1
Arapiraca,Cacimbas,2023,12,1
Arapiraca,Cacimbas,2025,1,1
Arapiraca,Cacimbas,2025,9,1
Arapiraca,Cacimbas,2025,11,1
Arapiraca,Caititus,2013,1,1
Arapiraca,Caititus,2013,2,1
Arapiraca,Caititus,2013,8,1
Arapiraca,Caititus,2014,6,1
Arapiraca,Caititus,2017,2,1
Arapiraca,Caititus,2018,1,2
Arapiraca,Caititus,2018,2,1
Arapiraca,Caititus,2018,7,1
Arapiraca,Caititus,2019,1,2
Arapiraca,Caititus,2019,2,1
Arapiraca,Caititus,2019,5,1
Arapiraca,Caititus,2020,11,1
Arapiraca,Caititus,2022,7,1
Arapiraca,Caititus,2022,11,1
Arapiraca,Caititus,2023,4,1
Arapiraca,Caititus,2023,12,1
Arapiraca,Caititus,2025,8,1
Arapiraca,Caititus,2026,2,1
Arapiraca,Canafístula,2012,4,1
Arapiraca,Canafístula,2012,6,1
Arapiraca,Canafístula,2012,8,1
Arapiraca,Canafístula,2013,1,6
Arapiraca,Canafístula,2013,4,1
Arapiraca,Canafístula,2013,9,1
Arapiraca,Canafístula,2013,10,2
Arapiraca,Canafístula,2013,11,1
Arapiraca,Canafístula,2013,12,1
Arapiraca,Canafístula,2014,2,1
Arapiraca,Canafístula,2014,3,1
Arapiraca,Canafístula,2014,10,2
Arapiraca,Canafístula,2014,12,2
Arapiraca,Canafístula,2015,4,2
Arapiraca,Canafístula,2015,7,1
Arapiraca,Canafístula,2015,8,2
Arapiraca,Canafístula,2015,9,1
Arapiraca,Canafístula,2015,11,1
Arapiraca,Canafístula,2015,12,1
Arapiraca,Canafístula,2016,1,2
Arapiraca,Canafístula,2016,2,1
Arapiraca,Canafístula,2016,3,1
Arapiraca,Canafístula,2016,5,1
Arapiraca,Canafístula,2016,6,2
Arapiraca,Canafístula,2016,7,2
Arapiraca,Canafístula,2016,9,2
Arapiraca,Canafístula,2016,10,1
Arapiraca,Canafístula,2016,11,2
Arapiraca,Canafístula,2016,12,4
Arapiraca,Canafístula,2017,4,1
Arapiraca,Canafístula,2017,5,1
Arapiraca,Canafístula,2017,9,1
Arapiraca,Canafístula,2018,1,2
Arapiraca,Canafístula,2018,4,2
Arapiraca,Canafístula,2018,5,1
Arapiraca,Canafístula,2018,6,1
