cidade_norm,ano,semestre,count
Cajueiro,2024,S1,1
Cajueiro,2024,S2,2
Cajueiro,2025,S1,3
Cajueiro,2025,S2,5
Cajueiro,2026,S1,1
Campestre,2012,S1,1
Campestre,2012,S2,1
Campestre,2013,S1,3
Campestre,2014,S2,1
Campestre,2015,S2,1
Campestre,2016,S1,1
Campestre,2016,S2,1
Campestre,2017,S1,2
Campestre,2017,S2,3
Campestre,2018,S2,2
Campestre,2019,S1,1
Campestre,2020,S2,1
Campestre,2021,S2,4
Campestre,2022,S1,1
Campestre,2023,S1,2
Campestre,2024,S1,1
Campestre,2024,S2,1
Campo Alegre,2012,S1,9
Campo Alegre,2012,S2,6
Campo Alegre,2013,S1,14
Campo Alegre,2013,S2,10
Campo Alegre,2014,S1,12
Campo Alegre,2014,S2,9
Campo Alegre,2015,S1,12
Campo Alegre,2015,S2,8
Campo Alegre,2016,S1,6
Campo Alegre,2016,S2,11
Campo Alegre,2017,S1,6
Campo Alegre,2017,S2,5
Campo Alegre,2018,S1,3
Campo Alegre,2018,S2,7
Campo Alegre,2019,S1,9
Campo Alegre,2019,S2,8
Campo Alegre,2020,S1,6
Campo Alegre,2020,S2,8
Campo Alegre,2021,S1,7
Campo Alegre,2021,S2,8
Campo Alegre,2022,S1,7
Campo Alegre,2022,S2,4
Campo Alegre,2023,S1,10
Campo Alegre,2023,S2,4
Campo Alegre,2024,S1,6
Campo Alegre,2024,S2,7
Campo Alegre,2025,S1,4
Campo Alegre,2025,S2,6
Campo Alegre,2026,S1,4
Campo Grande,2012,S1,1
Campo Grande,2012,S2,2
Campo Grande,2013,S1,1
Campo Grande,2013,S2,2
Campo Grande,2014,S1,2
Campo Grande,2014,S2,2
Campo Grande,2015,S1,1
Campo Grande,2015,S2,3
Campo Grande,2016,S1,8
Campo Grande,2016,S2,1
Campo Grande,2017,S1,8
Campo Grande,2017,S2,2
Campo Grande,2018,S1,1
Campo Grande,2018,S2,2
Campo Grande,2019,S2,2
Campo Grande,2020,S1,1
Campo Grande,2021,S1,2
Campo Grande,2021,S2,1
Campo Grande,2022,S1,2
Campo Grande,2022,S2,1
Campo Grande,2023,S2,4
Campo Grande,2024,S2,1
Campo Grande,2025,S1,2
Campo Grande,2026,S1,2
Canapi,2012,S1,5
Canapi,2012,S2,2
Canapi,2013,S2,2
Canapi,2014,S1,5
Canapi,2014,S2,5
Canapi,2015,S1,2
Canapi,2015,S2,4
Canapi,2016,S1,2
Canapi,2016,S2,3
Canapi,2017,S1,2
Canapi,2017,S2,1
Canapi,2018,S2,4
Canapi,2019,S1,6
Canapi,2019,S2,2
Canapi,2020,S1,7
Canapi,2020,S2,7
Canapi,2021,S1,2
Canapi,2021,S2,3
Canapi,2022,S1,4
Canapi,2022,S2,5
Canapi,2023,S1,4
Canapi,2023,S2,3
Canapi,2024,S1,2
Canapi,2024,S2,2
Canapi,2025,S1,6
Canapi,2025,S2,1
Canapi,2026,S1,4
Capela,2012,S1,5
Capela,2012,S2,6
Capela,2013,S1,13
Capela,2013,S2,5
Capela,2014,S1,7
Capela,2014,S2,5
Capela,2015,S1,6
Capela,2015,S2,1
Capela,2016,S1,2
Capela,2016,S2,3
