cidade_norm,ano,count
Flexeiras,2017,11
Flexeiras,2018,10
Flexeiras,2019,6
Flexeiras,2020,14
Flexeiras,2021,5
Flexeiras,2022,7
Flexeiras,2024,1
Flexeiras,2025,3
Flexeiras,2026,1
Girau do Ponciano,2012,3
Girau do Ponciano,2013,12
Girau do Ponciano,2014,9
Girau do Ponciano,2015,17
Girau do Ponciano,2016,21
Girau do Ponciano,2017,10
Girau do Ponciano,2018,12
Girau do Ponciano,2019,6
Girau do Ponciano,2020,3
Girau do Ponciano,2021,12
Girau do Ponciano,2022,9
Girau do Ponciano,2023,6
Girau do Ponciano,2024,12
Girau do Ponciano,2025,5
Girau do Ponciano,2026,3
Ibateguara,2012,18
Ibateguara,2013,12
Ibateguara,2014,6
Ibateguara,2015,9
Ibateguara,2016,13
Ibateguara,2017,9
Ibateguara,2018,7
Ibateguara,2019,6
Ibateguara,2020,8
Ibateguara,2021,6
Ibateguara,2022,4
Ibateguara,2023,11
Ibateguara,2024,7
Ibateguara,2025,2
Igaci,2012,7
Igaci,2013,10
Igaci,2014,10
Igaci,2015,12
Igaci,2016,15
Igaci,2017,8
Igaci,2018,11
Igaci,2019,4
Igaci,2020,10
Igaci,2021,9
Igaci,2022,11
Igaci,2023,19
Igaci,2024,11
Igaci,2025,9
Igaci,2026,4
Igreja Nova,2012,6
Igreja Nova,2013,8
Igreja Nova,2014,5
Igreja Nova,2015,7
Igreja Nova,2016,15
Igreja Nova,2017,7
Igreja Nova,2018,6
Igreja Nova,2019,7
Igreja Nova,2020,7
Igreja Nova,2021,8
Igreja Nova,2022,1
Igreja Nova,2023,6
Igreja Nova,2024,7
Igreja Nova,2025,6
Igreja Nova,2026,1
Inhapi,2012,8
Inhapi,2013,6
Inhapi,2014,12
Inhapi,2015,5
Inhapi,2016,5
Inhapi,2017,9
Inhapi,2018,9
Inhapi,2019,8
Inhapi,2020,3
Inhapi,2021,5
Inhapi,2022,5
Inhapi,2023,6
Inhapi,2024,4
Jacaré dos Homens,2013,2
Jacaré dos Homens,2014,2
Jacaré dos Homens,2015,3
Jacaré dos Homens,2017,4
Jacaré dos Homens,2019,1
Jacaré dos Homens,2020,3
Jacaré dos Homens,2021,1
Jacaré dos Homens,2023,1
Jacuípe,2012,1
Jacuípe,2013,3
Jacuípe,2014,4
Jacuípe,2015,2
Jacuípe,2016,2
Jacuípe,2017,5
Jacuípe,2018,3
Jacuípe,2019,2
Jacuípe,2020,3
Jacuípe,2021,1
Jacuípe,2022,1
Jacuípe,2023,1
Jacuípe,2025,1
Japaratinga,2013,8
Japaratinga,2014,2
Japaratinga,2015,4
Japaratinga,2016,2
Japaratinga,2017,2
Japaratinga,2018,4
Japaratinga,2019,9
Japaratinga,2020,4
Japaratinga,2021,2
Japaratinga,2022,2
Japaratinga,2023,2
Japaratinga,2024,6
Japaratinga,2025,4
Japaratinga,2026,2
Jaramataia,2012,8
Jaramataia,2013,3
Jaramataia,2014,5
Jaramataia,2015,2
Jaramataia,2016,6
Jaramataia,2017,1
Jaramataia,2018,2
Jaramataia,2019,4
Jaramataia,2020,2
Jaramataia,2021,3
