cidade_norm,ano,mes,count,ano_mes
Barra de Santo Antônio,2020,6,2,2020-06-01
Barra de Santo Antônio,2020,8,1,2020-08-01
Barra de Santo Antônio,2020,10,4,2020-10-01
Barra de Santo Antônio,2020,12,2,2020-12-01
Barra de Santo Antônio,2021,1,1,2021-01-01
Barra de Santo Antônio,2021,2,1,2021-02-01
Barra de Santo Antônio,2021,3,1,2021-03-01
Barra de Santo Antônio,2021,4,1,2021-04-01
Barra de Santo Antônio,2021,5,1,2021-05-01
Barra de Santo Antônio,2021,10,1,2021-10-01
Barra de Santo Antônio,2021,11,3,2021-11-01
Barra de Santo Antônio,2022,1,1,2022-01-01
Barra de Santo Antônio,2022,2,1,2022-02-01
Barra de Santo Antônio,2022,3,1,2022-03-01
Barra de Santo Antônio,2022,4,3,2022-04-01
Barra de Santo Antônio,2022,5,1,2022-05-01
Barra de Santo Antônio,2022,8,1,2022-08-01
Barra de Santo Antônio,2022,10,1,2022-10-01
Barra de Santo Antônio,2022,11,1,2022-11-01
Barra de Santo Antônio,2022,12,2,2022-12-01
Barra de Santo Antônio,2023,2,2,2023-02-01
Barra de Santo Antônio,2023,3,1,2023-03-01
Barra de Santo Antônio,2023,5,2,2023-05-01
Barra de Santo Antônio,2023,7,1,2023-07-01
Barra de Santo Antônio,2023,8,2,2023-08-01
Barra de Santo Antônio,2023,9,1,2023-09-01
Barra de Santo Antônio,2023,10,1,2023-10-01
Barra de Santo Antônio,2023,11,1,2023-11-01
Barra de Santo Antônio,2024,2,1,2024-02-01
Barra de Santo Antônio,2024,4,2,2024-04-01
Barra de Santo Antônio,2024,5,3,2024-05-01
Barra de Santo Antônio,2024,7,1,2024-07-01
Barra de Santo Antônio,2024,8,1,2024-08-01
Barra de Santo Antônio,2024,9,3,2024-09-01
Barra de Santo Antônio,2024,11,1,2024-11-01
Barra de Santo Antônio,2025,1,1,2025-01-01
Barra de Santo Antônio,2025,12,1,2025-12-01
Barra de São Miguel,2012,2,1,2012-02-01
Barra de São Miguel,2012,4,2,2012-04-01
Barra de São Miguel,2012,11,1,2012-11-01
Barra de São Miguel,2012,12,1,2012-12-01
Barra de São Miguel,2013,4,1,2013-04-01
Barra de São Miguel,2013,6,3,2013-06-01
Barra de São Miguel,2013,8,2,2013-08-01
Barra de São Miguel,2013,12,2,2013-12-01
Barra de São Miguel,2014,2,1,2014-02-01
Barra de São Miguel,2014,4,1,2014-04-01
Barra de São Miguel,2014,5,2,2014-05-01
Barra de São Miguel,2014,6,1,2014-06-01
Barra de São Miguel,2014,7,1,2014-07-01
Barra de São Miguel,2014,11,1,2014-11-01
Barra de São Miguel,2015,1,2,2015-01-01
Barra de São Miguel,2015,9,2,2015-09-01
Barra de São Miguel,2016,1,1,2016-01-01
Barra de São Miguel,2016,2,1,2016-02-01
Barra de São Miguel,2016,3,2,2016-03-01
Barra de São Miguel,2016,5,3,2016-05-01
Barra de São Miguel,2016,6,1,2016-06-01
Barra de São Miguel,2016,7,2,2016-07-01
Barra de São Miguel,2016,8,1,2016-08-01
Barra de São Miguel,2016,10,2,2016-10-01
Barra de São Miguel,2016,12,1,2016-12-01
Barra de São Miguel,2017,5,1,2017-05-01
Barra de São Miguel,2017,6,2,2017-06-01
Barra de São Miguel,2017,10,1,2017-10-01
Barra de São Miguel,2017,11,3,2017-11-01
Barra de São Miguel,2017,12,1,2017-12-01
Barra de São Miguel,2018,1,1,2018-01-01
Barra de São Miguel,2018,2,2,2018-02-01
Barra de São Miguel,2018,3,2,2018-03-01
Barra de São Miguel,2018,4,2,2018-04-01
Barra de São Miguel,2018,5,1,2018-05-01
Barra de São Miguel,2018,7,2,2018-07-01
Barra de São Miguel,2018,9,1,2018-09-01
Barra de São Miguel,2018,12,1,2018-12-01
Barra de São Miguel,2019,1,1,2019-01-01
Barra de São Miguel,2019,2,1,2019-02-01
Barra de São Miguel,2019,3,1,2019-03-01
Barra de São Miguel,2019,11,2,2019-11-01
Barra de São Miguel,2020,2,1,2020-02-01
Barra de São Miguel,2020,3,1,2020-03-01
Barra de São Miguel,2020,4,1,2020-04-01
Barra de São Miguel,2020,6,2,2020-06-01
Barra de São Miguel,2020,9,1,2020-09-01
Barra de São Miguel,2020,11,1,2020-11-01
Barra de São Miguel,2021,2,3,2021-02-01
Barra de São Miguel,2021,10,1,2021-10-01
Barra de São Miguel,2021,11,1,2021-11-01
Barra de São Miguel,2022,1,2,2022-01-01
Barra de São Miguel,2022,2,1,2022-02-01
Barra de São Miguel,2022,3,1,2022-03-01
Barra de São Miguel,2022,8,1,2022-08-01
Barra de São Miguel,2022,9,1,2022-09-01
Barra de São Miguel,2022,12,2,2022-12-01
Barra de São Miguel,2023,2,1,2023-02-01
Barra de São Miguel,2023,4,1,2023-04-01
Barra de São Miguel,2023,5,2,2023-05-01
Barra de São Miguel,2023,10,2,2023-10-01
Barra de São Miguel,2024,4,1,2024-04-01
Barra de São Miguel,2024,5,2,2024-05-01
Barra de São Miguel,2024,6,3,2024-06-01
Barra de São Miguel,2024,8,1,2024-08-01
Barra de São Miguel,2025,1,2,2025-01-01
Barra de São Miguel,2025,4,2,2025-04-01
Barra de São Miguel,2025,6,1,2025-06-01
Barra de São Miguel,2026,1,1,2026-01-01
Barra de São Miguel,2026,4,3,2026-04-01
Batalha,2012,9,1,2012-09-01
Batalha,2012,11,1,2012-11-01
Batalha,2012,12,1,2012-12-01
Batalha,2013,2,1,2013-02-01
Batalha,2013,4,1,2013-04-01
Batalha,2013,5,1,2013-05-01
Batalha,2013,9,1,2013-09-01
Batalha,2013,11,3,2013-11-01
Batalha,2014,1,1,2014-01-01
Batalha,2014,4,1,2014-04-01
Batalha,2014,5,1,2014-05-01
Batalha,2014,7,1,2014-07-01
Batalha,2014,9,1,2014-09-01
Batalha,2014,11,2,2014-11-01
Batalha,2014,12,1,2014-12-01
Batalha,2015,2,1,2015-02-01
Batalha,2015,3,1,2015-03-01
